预测时长/min,模型类别,方法,EPE / m,Path RMSE / m
2,弱基线/基础运动学,CV-CT,23.71910335268695,13.674901993807499
2,弱基线/基础运动学,CV-Heading,23.719314829524492,13.675202951169275
2,强基线/滤波模型,IMM-CVCA,74.85892112296845,43.2762143227163
2,强基线/滤波模型,KF-CV,74.85892112296845,43.2762143227163
2,黑盒残差基线,GBDT,17.153864210889417,11.62878325301411
2,黑盒残差基线,GRU,19.105735067529057,12.41394198967525
2,黑盒残差基线,LSTM,20.6813908656141,13.077567308542072
2,黑盒残差基线,RF,17.87542563293845,11.93122689113061
2,黑盒残差基线,Seq2Seq,20.24296015992779,12.905801167329518
2,黑盒残差基线,Transformer,17.90083978167441,11.94135212352099
2,消融实验,RAP-CT-dv-only,13.206628542830586,9.21620733385937
2,消融实验,RAP-CT-dw-only,23.620589873675737,13.665732066025571
2,本文方法,RAP-CT,13.137764898899775,9.194786139347418
10,弱基线/基础运动学,CV-CT,123.98225874341883,71.41543511173137
10,弱基线/基础运动学,CV-Heading,123.98484243544794,71.4153112669681
10,强基线/滤波模型,IMM-CVCA,380.53124976029983,219.26305959844478
10,强基线/滤波模型,KF-CV,380.53124976029983,219.26305959844478
10,黑盒残差基线,GBDT,73.27883625582184,53.84063702718073
10,黑盒残差基线,GRU,86.88894176529828,58.92067797659618
10,黑盒残差基线,LSTM,97.43091948190767,62.95851392729135
10,黑盒残差基线,RF,72.25391386294972,53.32404641751721
10,黑盒残差基线,Seq2Seq,95.24220628879857,62.203938426569884
10,黑盒残差基线,Transformer,78.36040709251921,56.002934843430566
10,消融实验,RAP-CT-dv-only,66.56107032478099,46.411673671135894
10,消融实验,RAP-CT-dw-only,105.43165523468116,66.34942096607469
10,本文方法,RAP-CT,61.17808839331002,44.55210083869531
20,弱基线/基础运动学,CV-CT,241.46952410649686,143.73609341880535
20,弱基线/基础运动学,CV-Heading,241.35918451767117,143.733281206531
20,强基线/滤波模型,IMM-CVCA,763.8901759410363,439.1595811088038
20,强基线/滤波模型,KF-CV,763.8901759410363,439.1595811088038
20,黑盒残差基线,GBDT,127.63572361262196,97.15318521737166
20,黑盒残差基线,GRU,153.23164680926692,110.35027018523516
20,黑盒残差基线,LSTM,179.91015925517814,119.98423609801898
20,黑盒残差基线,RF,127.80911094926853,97.21442044426891
20,黑盒残差基线,Seq2Seq,172.7380796532911,117.82163493124595
20,黑盒残差基线,Transformer,132.3793533312701,100.99458565408386
20,消融实验,RAP-CT-dv-only,133.65569240446308,93.75786110843026
20,消融实验,RAP-CT-dw-only,155.01400259584852,117.58870323559385
20,本文方法,RAP-CT,109.99916481870923,83.99690587370856
